libraryPageTitle,libraryUrl,collectionUrl,collectionPageTitle,section
finding medical archives elsewhere,wellcomelibrary.org/collections/about-the-collections/archives-and-manuscripts/finding-medical-archives-elsewhere/,https://wellcomecollection.org/pages/YA64vRMAACAAgRjZ,Accessing the collections,
Using the library,wellcomelibrary.org/using-the-library/,https://wellcomecollection.org/pages/Wuw19yIAAK1Z3Smm,The Library ,Using the Library 
joining the library,wellcomelibrary.org/using-the-library/joining-the-library/,https://wellcomecollection.org/pages/X_2eexEAACQAZLBi,Library Membership ,Using the Library 
visiting the library,wellcomelibrary.org/using-the-library/visiting-the-library/,https://wellcomecollection.org/visit-us,Visit Us ,Using the Library 
how to find us,wellcomelibrary.org/using-the-library/visiting-the-library/how-to-find-us/,https://wellcomecollection.org/pages/WwabUiAAAHQXGNHB,Getting here,Using the Library 
food drink and cloakroom,wellcomelibrary.org/using-the-library/visiting-the-library/food-drink-and-cloakroom/,https://wellcomecollection.org/pages/Wuw19yIAAK1Z3Sm0,Storing your belongings ,Using the Library 
access for visitors with disabilities,wellcomelibrary.org/using-the-library/visiting-the-library/access-for-visitors-with-disabilities/,https://wellcomecollection.org/access,Accessibility ,Using the Library 
opening hours,wellcomelibrary.org/using-the-library/visiting-the-library/opening-hours/,https://wellcomecollection.org/opening-times,Opening times,Using the Library 
booking a tour or visit,wellcomelibrary.org/using-the-library/visiting-the-library/booking-a-tour-or-visit/,https://wellcomecollection.org/pages/Wuw19yIAAK1Z3Sma,Daily guided tours or discussions ,Using the Library 
services and facilities,wellcomelibrary.org/using-the-library/services-and-facilities/,https://wellcomecollection.org/pages/YCAVKxIAACIAV1oF,Library Services ,Using the Library 
copying and imaging,wellcomelibrary.org/using-the-library/services-and-facilities/copying-and-imaging/,https://wellcomecollection.org/pages/YBGdERMAAB8AjXKe,Copying and Photography ,Using the Library 
computers printing and wifi,wellcomelibrary.org/using-the-library/services-and-facilities/computers-printing-and-wifi/,https://wellcomecollection.org/pages/YBGcehMAAB4AjW_c,Computes and WiFi,Using the Library 
study rooms,wellcomelibrary.org/using-the-library/services-and-facilities/study-rooms/,https://wellcomecollection.org/pages/YBGczxMAACAAjXFz,Study Rooms ,Using the Library 
inter library loans,wellcomelibrary.org/using-the-library/services-and-facilities/interlibrary-loans/,https://wellcomecollection.org/pages/YCUJ1hUAACcAUi5L,Inter-library Loans ,Using the Library 
how to use the library,wellcomelibrary.org/using-the-library/how-to/,https://wellcomecollection.org/collections,Collections ,Using the Library 
which search tool should I use,wellcomelibrary.org/using-the-library/how-to/which-search-tool/,https://wellcomecollection.org/collections,Collections ,Using the Library 
searching all catalogues,wellcomelibrary.org/using-the-library/how-to/searching-all-catalogues/,https://wellcomecollection.org/collections,Collections ,Using the Library 
searching by subject,wellcomelibrary.org/using-the-library/how-to/searching-by-subject/,https://wellcomecollection.org/collections,Collections ,Using the Library 
searching the library catalogue,wellcomelibrary.org/using-the-library/how-to/searching-the-library-catalogue/,https://wellcomecollection.org/collections,Collections ,Using the Library 
finding materials in the library,wellcomelibrary.org/using-the-library/how-to/finding-materials-in-the-library/,https://wellcomecollection.org/pages/YA64vRMAACAAgRjZ,Accessing the collections,Using the Library 
request and delivery,wellcomelibrary.org/using-the-library/how-to/request-and-delivery/,https://wellcomecollection.org/pages/YCAVKxIAACIAV1oF,Library Services ,Using the Library 
finding early printed books online,wellcomelibrary.org/using-the-library/how-to/finding-early-printed-books/,https://wellcomecollection.org/collections,Collections ,Using the Library 
RSS feeds,wellcomelibrary.org/using-the-library/how-to/rss-feeds/,https://wellcomecollection.org/collections,Collections ,Using the Library 
browser widgets,wellcomelibrary.org/using-the-library/how-to/browser-widgets/,https://wellcomecollection.org/collections,Collections ,Using the Library
electronic resources feedback form,wellcomelibrary.org/using-the-library/services-and-facilities/contact-us/e-resources-feedback,https://wellcomecollection.org/pages/Wuw19yIAAK1Z3Smm,The Library ,Using the Library
library catalogue endnote filter,wellcomelibrary.org/using-the-library/how-to/EndNote-filter/,https://wellcomecollection.org/collections,Collections ,Using the Library 
library catalogue access via Z39.50,wellcomelibrary.org/using-the-library/how-to/z3950/,https://developers.wellcomecollection.org/,Developers,Using the Library 